,HiddenNodes,lit_HamminLosss,lit_accuracy,lit_precision,lit_recall,lit_f1,sklearn_hamLoss,sklearn_accuracy,sklearn_macro_precision,sklearn_micro_precision-,sklearn_macro_recall,sklearn_micro_precision,sklearn_macro_f1,sklearn_micro_f1,term_wise_accuracy,activation,type,start,phase,end
15,300,0.039503116284385624,0.12240423762283303,0.2523448203182632,0.13285884197563524,0.1740702069465514,0.12240423762283303,0.0515333544103699,0.268762025309372,0.12240423762283303,0.015006903212837689,0.6505560307955518,0.020402084204650728,0.18606642608110588,0.9604968837156144,_relu_leaky,type1_BERT_Embeddings_Train,1603016358.1934512,train,1603016404.0009694
16,300,0.03982075613126541,0.11144558601493622,0.2306881652439667,0.1222290792280846,0.15979271326776595,0.11144558601493622,0.04510485825692907,0.11524445741993894,0.11144558601493622,0.01292259837306665,0.6362391602008215,0.017204306031482687,0.17207752129366743,0.9601792438687345,_biploar_step,type1_BERT_Embeddings_Train,1603016404.0009694,train,1603016413.0567548
17,300,0.03948678900253667,0.1299423318754096,0.2596954368215829,0.14056097255253888,0.182398294254314,0.1299423318754096,0.057434924649594266,0.23329657599983472,0.1299423318754096,0.015278716143940925,0.6460176991150443,0.020347398517242696,0.19093093275751954,0.9605132109974633,_bipolar_sigmoid,type2_BERT_Embeddings_Train,1603016413.0567548,train,1603016432.8358674
18,300,0.03920625661440452,0.1364982660020135,0.2715951803843047,0.1473692011932143,0.19106523867474082,0.1364982660020135,0.060280324586363156,0.15394478532514733,0.1364982660020135,0.016180743112255196,0.6613162118780096,0.021665384637349024,0.1997212628007029,0.9607937433855955,_relu_leaky,type2_BERT_Embeddings_Train,1603016432.8358674,train,1603016476.4831624
19,300,0.039642640329276745,0.11779840559492406,0.2413847613025608,0.12847383717614128,0.1676945008062193,0.11779840559492406,0.04805564337654126,0.12403659168686998,0.11779840559492406,0.013721200552763858,0.6438896189224704,0.01818504832996811,0.18043451577267705,0.9603573596707232,_biploar_step,type2_BERT_Embeddings_Train,1603016476.4831624,train,1603016485.6107557
20,400,0.03936656083619432,0.12927888822719324,0.259985246074402,0.13976409423089425,0.18179693506552877,0.12927888822719324,0.057434924649594266,0.21945211661554845,0.12927888822719324,0.015644941173118123,0.6554726368159204,0.021299787882871846,0.19253485964805456,0.9606334391638057,_bipolar_sigmoid,type1_BERT_Embeddings_Train,1603016485.6107557,train,1603016509.4310982
21,400,0.03918399213915594,0.13646115378804566,0.2704148663364598,0.1472228533301753,0.19064967712556966,0.13646115378804566,0.06006955422067657,0.27636148669338184,0.13646115378804566,0.016987797523009867,0.6625275385539756,0.023283814257303092,0.20039376041193396,0.9608160078608441,_relu_leaky,type1_BERT_Embeddings_Train,1603016509.4310982,train,1603016565.377471
22,400,0.039612954362278636,0.11951388821314485,0.2437032353251133,0.12913466052756234,0.16881617943478855,0.11951388821314485,0.05005796185056381,0.20640870485865812,0.11951388821314485,0.014302385887285881,0.6465289982425307,0.019496024278327178,0.18069626082151408,0.9603870456377214,_biploar_step,type1_BERT_Embeddings_Train,1603016565.377471,train,1603016574.8720827
23,400,0.03919141363090547,0.13561646890776002,0.27238556925562935,0.1457767144537154,0.18991417876553582,0.13561646890776002,0.06080725050057962,0.1998565980303072,0.13561646890776002,0.016691615739313534,0.6642306130734876,0.0229194580888545,0.1986160009712274,0.9608085863690945,_bipolar_sigmoid,type2_BERT_Embeddings_Train,1603016574.8720827,train,1603016598.6136017
24,400,0.03897767466851907,0.14605421418299583,0.2884480275406611,0.15735584741001635,0.20362758763561747,0.14605421418299583,0.06586573927705765,0.3221037056857689,0.14605421418299583,0.020131118847623832,0.6667928814842863,0.02856339506771397,0.2115061253903435,0.9610223253314809,_relu_leaky,type2_BERT_Embeddings_Train,1603016598.6136017,train,1603016655.349898
